Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Row Labels,Average of Utility product,,,,,Row Labels,Average of Utility product,,,,,Agent,Avg product utility,,Agent ranked,Avg product utility
AgentGG,0.5628148970616841,,,,,AgentGG,0.5166869265072758,,,,,AgentGG,0.5397509117844799,,winkyAgent,0.5625328026715068
AgentGP,0.5379439167450796,,,,,AgentGP,0.5539616273221823,,,,,AgentGP,0.545952772033631,,FSEGA2019,0.5495109721536815
AgentLarry,0.49598073067293685,,,,,AgentLarry,0.5203908247273128,,,,,AgentLarry,0.5081857777001249,,AgentGP,0.545952772033631
AgentPeraltaV2,0.39259657947342286,,,,,AgentPeraltaV2,0.409895161930523,,,,,AgentPeraltaV2,0.40124587070197293,,SAGA,0.5422620632896726
AuthenticAgent,0.19149345719542213,,,,,AuthenticAgent,0.19794372437846433,,,,,AuthenticAgent,0.19471859078694323,,AgentGG,0.5397509117844799
dandikAgent,0.467165383964505,,,,,dandikAgent,0.45849305663451656,,,,,dandikAgent,0.4628292202995108,,Group1_BOA,0.5392220338998357
EAgent,0.44765049615284347,,,,,EAgent,0.40948232448456645,,,,,EAgent,0.42856641031870496,,KakeSoba,0.5258764009081462
FSEGA2019,0.5369849478770172,,,,,FSEGA2019,0.5620369964303458,,,,,FSEGA2019,0.5495109721536815,,SolverAgent,0.5256757549031073
GaravelAgent,0.4690239071630264,,,,,GaravelAgent,0.4039862867684978,,,,,GaravelAgent,0.4365050969657621,,HardDealer,0.5172027272975185
Gravity,0.3801375734693632,,,,,Gravity,0.3419262654657015,,,,,Gravity,0.3610319194675323,,MINF,0.5132526914759954
Group1_BOA,0.5408254689514577,,,,,Group1_BOA,0.5376185988482138,,,,,Group1_BOA,0.5392220338998357,,AgentLarry,0.5081857777001249
HardDealer,0.545500658535607,,,,,HardDealer,0.48890479605943,,,,,HardDealer,0.5172027272975185,,TheNewDeal,0.48729977277570424
IBasic,0.1360000000000008,,,,,IBasic,0.1360000000000008,,,,,IBasic,0.1360000000000008,,dandikAgent,0.4628292202995108
KAgent,0.4426380159569213,,,,,KAgent,0.47120649581039803,,,,,KAgent,0.45692225588365964,,KAgent,0.45692225588365964
KakeSoba,0.5017705165449935,,,,,KakeSoba,0.549982285271299,,,,,KakeSoba,0.5258764009081462,,GaravelAgent,0.4365050969657621
MINF,0.4933492683288136,,,,,MINF,0.5331561146231771,,,,,MINF,0.5132526914759954,,EAgent,0.42856641031870496
SACRA,0.33161358158804954,,,,,SACRA,0.30168119253096004,,,,,SACRA,0.3166473870595048,,AgentPeraltaV2,0.40124587070197293
SAGA,0.5483569067332206,,,,,SAGA,0.5361672198461247,,,,,SAGA,0.5422620632896726,,Gravity,0.3610319194675323
SolverAgent,0.5252511690313927,,,,,SolverAgent,0.5261003407748217,,,,,SolverAgent,0.5256757549031073,,SACRA,0.3166473870595048
TheNewDeal,0.4428203934132661,,,,,TheNewDeal,0.5317791521381423,,,,,TheNewDeal,0.48729977277570424,,AuthenticAgent,0.19471859078694323
winkyAgent,0.5612735635179714,,,,,winkyAgent,0.5637920418250424,,,,,winkyAgent,0.5625328026715068,,IBasic,0.1360000000000008
Grand Total,0.4548186396370051,,,,,Grand Total,0.4548186396369979,,,,,,,,,
