🔍 Product Utility Summary

Total agents evaluated: 22

🏆 Top Agent: AgentGG with product utility 0.5628
🔻 Lowest Agent: IBasic with product utility 0.1360

📊 Full Rankings:

 - AgentGG: 0.5628
 - winkyAgent: 0.5613
 - SAGA: 0.5484
 - HardDealer: 0.5455
 - Group1_BOA: 0.5408
 - AgentGP: 0.5379
 - FSEGA2019: 0.5370
 - SolverAgent: 0.5253
 - KakeSoba: 0.5018
 - AgentLarry: 0.4960
 - MINF: 0.4933
 - GaravelAgent: 0.4690
 - dandikAgent: 0.4672
 - Grand Total: 0.4548
 - EAgent: 0.4477
 - TheNewDeal: 0.4428
 - KAgent: 0.4426
 - AgentPeraltaV2: 0.3926
 - Gravity: 0.3801
 - SACRA: 0.3316
 - AuthenticAgent: 0.1915
 - IBasic: 0.1360
